time,open,high,low,close,Volume,Volume MA
-451996200,43.860001,43.889999,43.849998,43.889999,NaN,NaN
-451391400,44.189999,45.09,44.189999,45.09,NaN,NaN
-450786600,45.16,45.630001,45.130001,45.630001,NaN,NaN
-450181800,42.610001,44.310001,42.610001,43.669998,NaN,NaN
-449577000,42.490002,42.990002,42.380001,42.380001,NaN,NaN
-448972200,41.150002,41.52,40.799999,41.220001,NaN,NaN
-448367400,41.349998,42.59,41.349998,42.59,NaN,NaN
-447762600,42.91,42.91,42.290001,42.369999,NaN,NaN
-447154200,42.34,43.959999,42.279999,43.959999,NaN,NaN
-446549400,44.150002,45.240002,44.150002,45.240002,NaN,NaN
-445944600,46.41,46.41,45.540001,45.540001,NaN,NaN
-445339800,45.220001,45.720001,45.220001,45.68,NaN,NaN
-444735000,45.380001,45.560001,45.349998,45.439999,NaN,NaN
-444130200,45.700001,45.889999,45.549999,45.889999,NaN,NaN
-443525400,45.419998,45.450001,45.060001,45.130001,NaN,NaN
-442920600,45.02,45.84,44.950001,45.5,NaN,NaN
-442315800,45.220001,45.48,45.049999,45.48,NaN,NaN
-441711000,45.16,45.16,44.950001,45.139999,NaN,NaN
-441106200,44.509998,44.75,44.16,44.669998,NaN,NaN
-440501400,44.139999,44.470001,43.220001,43.220001,NaN,NaN
-439896600,43.110001,43.720001,43.110001,43.349998,NaN,NaN
-439291800,43.5,44.779999,43.5,44.779999,NaN,NaN
-438687000,44.810001,44.810001,43.639999,43.639999,NaN,NaN
-438082200,43.580002,44.52,43.419998,44.52,NaN,NaN
-437477400,44.450001,45.32,44.450001,45.32,NaN,NaN
-436872600,45.27,45.810001,45.27,45.810001,NaN,NaN
-436267800,46.060001,46.700001,46.009998,46.700001,NaN,NaN
-435663000,47.130001,48.139999,47.060001,48.139999,NaN,NaN
-435058200,48.59,48.869999,48.23,48.830002,NaN,NaN
-434453400,48.619999,48.619999,48.25,48.48,NaN,NaN
-433848600,48.700001,48.849998,48.529999,48.849998,NaN,NaN
-433243800,48.610001,48.610001,47.93,47.950001,NaN,NaN
-432639000,47.959999,47.959999,47.57,47.759998,NaN,NaN
-432034200,47.650002,47.990002,47.09,47.990002,NaN,NaN
-431433000,48.380001,48.509998,48.16,48.509998,NaN,NaN
-430828200,48.220001,48.220001,47.119999,47.119999,NaN,NaN
-430223400,46.860001,46.860001,46.049999,46.389999,NaN,NaN
-429618600,45.990002,45.990002,44.599998,44.619999,NaN,NaN
-429013800,44.099998,45.580002,44.099998,45.580002,NaN,NaN
-428409000,45.849998,45.990002,45.139999,45.139999,NaN,NaN
-427804200,45.709999,46.419998,45.709999,46.369999,NaN,NaN
-427199400,46.169998,46.73,46.169998,46.59,NaN,NaN
-426594600,46.41,47.130001,46.41,46.970001,NaN,NaN
-425989800,46.93,48.040001,46.93,48.040001,NaN,NaN
-425385000,48.25,48.720001,48.25,48.720001,NaN,NaN
-424780200,49.139999,49.349998,49.139999,49.349998,NaN,NaN
